BIC;COD;COD2;NOM
MLIBESM1XXX;1478;1478;MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.
NATXESMMXXX;1479;1479;NATIXIS, S.A., S.E.
VOWAES21XXX;1480;1480;VOLKSWAGEN BANK GMBH, S.E.
PICTESMMXXX;1488;1488;PICTET & CIE (EUROPE), S.A., S.E.
BCITESMMXXX;1494;1494;INTESA SANPAOLO S.P.A., S.E.
ESSIESMMXXX;1497;1497;BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A., S.E.
DPBBESM1XXX;1501;1501;DEUTSCHE PFANDBRIEFBANK AG, S.E.
EFGBESMMXXX;1522;1522;EFG BANK (LUXEMBOURG) S.A., S.E.
BCDMESMMXXX;1525;1525;BANQUE CHAABI DU MAROC, S.E.
KBLXESMMXXX;1534;1534;KBL EUROPEAN PRIVATE BANKERS, S.A. S.E.
ICBKESMMXXX;1538;1538;INDUSTRIAL & COMMERCIAL BANK OF CHINA(EUROPE)SA,SE
BACAESMMXXX;1544;1544;ANDBANC LUXEMBOURG, S.A., SUCURSAL EN ESPAÑA
SCSIESM1XXX;1116;1116;BANQUE SCANDINAVE EN SUISSE
SCBLESM1XXX;1127;1127;STANDARD CHARTERED BANK
IRVTESM1XXX;1156;1156;THE BANK OF NEW YORK MELLON
BNACESM1XXX;1168;1168;BANCO NACIONAL DE CUBA
HANDES21XXX;1191;1191;SVENSKA HANDELSBANKEN
PKBSES21XXX;1193;1193;PKB PRIVATBANK AG.
AEEVESM1XXX;1196;1196;BANCO DE LAS ACTIVIDADES ECONOMICAS EXTERIORES
BILLESB1XXX;1197;1197;BANQUE INTERNATIONALE A LUXEMBOURG
CRGEESM1XXX;1199;1199;BANCA CARIGE SPA-CASSA RISPARMIO GENOVA E IMPERIA
ABCMESM1XXX;1209;1209;ALLIED BANKING CORPORATION
REDEESM1XXX;1210;1210;BANQUE REGIONALE D'ESCOMPTE ET DE DEPOTS
AARBESM1XXX;1255;1255;AAREAL BANK AG
COURESB1XXX;1173;1173;BANQUE COURTOIS
CAGLESMMXXX;239;239;EVO BANCO S.A.
BDEPESM1XXX;3;3;BANCO DE DEPÓSITOS, S.A.
BANDESSSXXX;4;4;BANCO DE ANDALUCÍA, S.A.
BSABESBBXXX;8;8;BANCO ATLÁNTICO, S.A.
BBVAESMMXXX;10;10;BANCO BILBAO
SLBKESBBXXX;13;13;BANCO NATWEST ESPAÑA, S.A.
CATAESBBXXX;15;15;BANCA CATALANA, S.A.
CENTESMM;16;16;BANCO CENTRAL HISPANOAMERICANO
DEUTESBBXXX;19;19;DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA
BCIOESMMXXX;20;20;BANCO DE COMERCIO
BALEES22XXX;24;24;BANCO DE CRÉDITO BALEAR, S.A.
CRLEESMMXXX;29;29;BANCO COMERCIAL
ESPCESMMXXX;30;30;BANCO ESPAÑOL DE CRÉDITO, S.A.
ETCHES2GXXX;31;31;BANCO ETCHEVERRÍA, S.A.
SABNESMMXXX;36;36;SANTANDER INVESTMENT, S.A.
BGUIES22XXX;42;42;BANCO GUIPUZCOANO, S.A.
GALEES2GXXX;46;46;BANCO GALLEGO, S.A.
BSCHESMMXXX;49;49;BANCO SANTANDER, S.A.
BVADESMMXXX;57;57;BANCO DEPOSITARIO BBV, S.A.
BNPAESMMXXX;58;58;B.N.P. ESPAÑA, S.A.
MADRESMMXXX;59;59;BANCO DE MADRID
BMARES2MXXX;61;61;BANCA MARCH, S.A.
BARCESMMXXX;65;65;BARCLAYS BANK S.A.E.
PSTRESMMXXX;72;72;BANCO PASTOR, S.A.
OPENESMMXXX;73;73;OPEN BANK
POPUESMMXXX;75;75;BANCO POPULAR ESPAÑOL, S.A.
BAPUES22XXX;78;78;BANCA PUEYO, S.A.
BSABESBBXXX;81;81;BANCO DE SABADELL, S.A.
RENBESMMXXX;83;83;BANCO ALICANTINO DE COMERCIO, S.A.
NORTESMMXXX;86;86;BANCO BANIF DE GESTIÓN PRIVADA, S.A.
VALEESVVXXX;93;93;BANCO DE VALENCIA, S.A.
BVALESMMXXX;94;94;RBC DEXIA INVESTOR SERVICES ESPAÑA, S.A.
AHCRESVVXXX;99;99;BANCO DE CRÉDITO Y AHORRO, S.A.
LOYDESMMXXX;106;106;LLOYDS BANK (BLSA) LIMITED
BNLIESM1XXX;107;107;BANCA NAZIONALE DEL LAVORO, S.P.A.
SOGEESMMXXX;108;108;SOCIETE GENERALE BANQUE EN SPAGNE
INBBESM1XXX;113;113;BANCO INDUSTRIAL DE BILBAO, S.A.
OCBAESM1XXX;121;121;BANCO OCCIDENTAL, S.A.
CITIES2XXXX;122;122;CITIBANK ESPAÑA, S.A.
BAOFESM1XXX;125;125;BANCOFAR, S.A.
BKBKESMMXXX;128;128;BANKINTER, S.A.
INALESM1XXX;129;129;BANCO INDUSTRIAL DE CATALUÑA, S.A.
CGDIESMMXXX;130;130;BANCO LUSO ESPAÑOL, S.A.
BESMESMMXXX;131;131;BANCO ESPIRITO SANTO, S.A.
PRNEESM1XXX;132;132;BANCO DE PROMOCIÓN DE NEGOCIOS, S.A.
MIKBESB1XXX;133;133;BANCO DE EUROPA, S.A.
AREBESMMXXX;136;136;BANCO ÁRABE ESPAÑOL, S.A.
BKOAES22XXX;138;138;BANKOA, S.A.
PARBESMXXXX;144;144;BANQUE PARIBAS
DEUTESM1XXX;145;145;DEUTSCHE BANK, A.G.
BNPAESMSXXX;149;149;BANQUE NATIONALE DE PARIS
CHASESM3XXX;151;151;CHEMICAL BANK
BPLCESMMXXX;152;152;BARCLAYS BANK, P.L.C.
BSUIESMMXXX;154;154;BANQUE INDOSUEZ
BRASESMMXXX;155;155;BANCO DO BRASIL
ABNAESMMXXX;156;156;ABN AMRO BANK N.V.
COBAESMXXXX;159;159;COMMERZBANK, A.G.
BOTKESMXXXX;160;160;THE BANK OF TOKIO, LLMITED
BKTRESM1XXX;161;161;THE BANKERS TRUST COMPANV
MIDLESMMXXX;162;162;MIDLAND BANK, P.L.C.
GEBAESMMXXX;167;167;GENERALE BANK, BANCO BELGA
BBRUESMXXXX;168;168;BANOUE BRUXELLES LAMBERT
NACNESMMXXX;169;169;BANCO DE LA NACIÓN ARGENTINA
BBVAESMMXXX;182;182;BANCO BILBAO VIZCAYA, S.A.
BFIVESBBXXX;186;186;BANCO DE FINANZAS E INVERSIONES, S.A.
ALCLESMMXXX;188;188;BANCO ALCALÁ, S.A.
BBPIESMMXXX;190;190;BANCO DE FOMENTO E EXTERIOR-PORTUGAL
WELAESMMXXX;196;196;WESTDEUTSCHE LANDESBANK (EUROPA) AG
BCOEESMMXXX;198;198;BANCO COOPERATIVO ESPAÑOL, S.A.
PRVBESB1XXX;200;200;PRIVAT BANK
DECRESM1XXX;205;205;DEUTSCHE BANK CREDIT
PROAESMMXXX;211;211;SOCIEDAD ESPAÑOLA DE BANCA DE NEGOCIOS, S.A.
POHIESMMXXX;216;216;BANCO POPULAR HIPOTECARIO, S.A.
HLFXESMMXXX;217;217;BANCO HALIFAX HISPANIA
BMCEESMMXXX;219;219;MAROCAINE DU COMERCE EXTERIEUR
FIOFESM1XXX;220;220;BANCO ESFINGE, S.A.
UNOEESM1XXX;227;227;UNOE BANK S.A.
POPLESMMXXX;229;229;POPULAR-E
GBMNESMMXXX;487;487;BANCO MARE MOSTRUM, S.A.
ICROESMMXXX;1000;1000;INSTITUTO DE CRÉDITO OFICIAL
BBVAESMMXXX;1302;1302;CAJA POSTAL, S.A.
INGDESMMXXX;1465;1465;ING.BANK N.V. SUCURSAL EN ESPAÑA
SELFESMMXXX;1490;1490;SELF TRADE BANK S.A.
TRIOESMMXXX;1491;1491;TRIODOS BANK N.V.S.E.
CECAESMMXXX;2000;2000;CONFEDERACIÓN ESPAÑOLA DE CAJAS DE AHORRO
CECAESMM1;2010;2010;MONTE DE PIEDAD Y CAJA GENERAL DE AHORROS DE BADAJOZ
CESCESBBXXX;2013;2013;CAJA DE AHORROS DE CATALUÑA
CECAESMM17;2017;2017;CAJA DE AHORROS Y M. DE P. DEL C.C.O.O. DE BURGOS
CECAESMM18;2018;2018;CAJA DE AHORROS MUNICIPAL DE BURGOS
CECAESMM31;2031;2031;CAJA GENERAL DE AHORROS DE GRANADA
CAHMESMMXXX;2038;2038;CAJA DE AHORROS Y MONTE DE PIEDAD DE MADRID
